Singer_en,Singer_sn,Lyricist_en,Lyricist_sn,Composer_en,Composer_sn
Sunil Edirisinghe,සුනිල් එදිරිසිංහ,Yamuna Malini Perera,යමුනා මාලිනී පෙරේරා,Rohana Weerasinghe,රෝහණ වීරසිංහ
T.M.Jayarathna,ටී.එම්.ජයරත්න,Rathna Sri Wijesinghe,රත්න ශ්‍රී විජේසිංහ,Sarath de Alwis,සරත් ද අල්විස්
W.D.Amaradewa,ඩබ්ලිව්.ඩී.අමරදේව,Prema Keerthi de Alwis,ප්‍රේම කීර්ති ද අල්විස්,Victor Rathnayake,වික්ටර් රත්නායක
Nanda Malini,නන්දා මාලිනි,Voeli Nanayakkara,වොලි නානායක්කාර,Stanley Peiris,ස්ටැන්ලි පීරිස්
Neela Wickramasinghe,නීලා වික්රමසිංහ,Kumaradasa Saputhanthri,කුමාරදාස සපුතන්ත්‍රී,Clarence Wijewardena,ක්ලැරන්ස් විජේවර්ධන
Chandralekha Perera,චන්ද්රලේඛා පෙරේරා,Malini Jayarathna,මාලිනී ජයරත්න,H M H.M. Jayawardhana,එච්.එම්. ජයවර්ධන
Vijaya Kumarathunga,විජය කුමාරතුංග,Kularathna Ariyawansa,කුලරත්න ආරියවංශ,Lakshman Wijeseekara,ලක්ෂ්මන් විජේසේකර
Chamara Weerasinghe',චාමර වීරසිංහ,Ajantha Ranasingha,අජන්තා රණසිංහ,H.M. H.M. Jayawardhana,එච්. එම්. ජයවර්ධන
Bandara Athawuda,බණ්ඩාර අතාවුද,Ven Rambukkana Siddhartha,රඹුක්කන සිද්ධාර්ථ හිමි,Darshana Ruwan Disanayake,දර්ශන රුවන් දිසානයක
Prema Keerthi de Alwis,ප්‍රේමකීර්ති ද අල්විස්,Bandula Nanayakkare,බන්ධුල නානායක්කාර,Sunil Dayanada Sekara,සුනිල් දයානන්ද සේකර
Uresha Ravihari,උරේෂා රවිහාරි,Mahagamasekara,මහගම සේකර,W.D.Amaradewa,ඩබ්ලිව්.ඩී.අමරදේව
Pradeepa Darmadasa,ප්‍රදීපා දර්මදාස,K.D.K. Dharmawardana,කුමාරදාස සපුතන්ත්‍රි,Karunarathna Wijewardane,කරුණාරත්න විජේවර්ධන
Nirosha Wirajini,නිරෝෂා විරාජිනී,Mahinda Chandrasekara,කේ.ඩී.කේ ධර්මවර්ධන,Sarath Dasanayake,සරත් දසනායක
Deepika Priyadarshanee,දීපිකා ප්‍රියදර්ශනී,Sunil Ariyarathne,මහින්ද චන්ද්රසේකර,Premasiri Kemadasa,ප්‍රේමසිරි කේමදාස
Victor Rathnayake,වික්ටර් රත්නායක,Rathan Sri Wijesinghe,ප්‍රේමකීර්ති ද අල්විස්,Shelton Premarathne,ෂෙල්ටන් ප්‍රේමරත්න
,,Wasantha Kumara Kobawaka,සුනිල් ආරියරත්න,Mervin Perera,මර්වින් පෙරේරා
,,Rajee Welgama,වසන්ත කුමාර කොබවක,Nimal Mendis,නිමල් මෙන්ඩිස්
,,Kularathna Ariyawansha,රජී වෙල්ගම,H.M.H.M. Jayawardhana,එච්.එම්.ජයවර්ධන
,,Sunil Dayanada Sekara,කුලරත්න ආරියවංස,Nanda Malini,නන්දා මාලිනි
,,Madawala S. Ratnayaka,සුනිල් දයානන්ද සේකර,Rohitha Wijesuriya,රෝහිත විජේසූරිය
,,Madawala S.Rathnayake,මඩවල එස්. රත්නායක,Ostin Munasinghe,ඔස්ටින් මුණසිංහ
,,S. Mahinda Thero,මහගමසේකර,,
,,Sunil Sarath Perera,එස්‌. මහින්ද හිමි,,
,,Dharmasiri Gamage,සුනිල් සරත් පෙරේරා,,
,,Dolton Alwis,ධර්මසිරි ගමගේ,,
,,Monica Ruwanpathirana,ඩෝල්ටන් අල්විස්,,
,,Chandraratne Manawasinghe,"මොනිකා රුවන්පතිරණ",,
,,Rohana Weerasinghe,චන්ද්‍රරත්න මානවසිංහ,,
,,Indrasiri Suraweera,රෝහණ වීරසිංහ,,
,,Sunil Edirisinghe,ඉන්ද්‍රසිරි සුරවීර,,
,,Carlo Fonseka,සුනිල් එදිරිසිංහ,,
,,Sunil R. Gamage,කාලෝ ෆොන්සේකා,,
,,Karunarathne Abeysekara,සුනිල් ආර් ගමගේ,,
,,Lesli Ranasinghe,කරුණාරත්න අබේසේකර,,
,,Kamilas Perera,ලෙසිල් රණසිංහ,,
,,Sunil Ariyarathna,කැමිලස් පෙරේරා,,
,,Kavi Keerthi himii,කවි කීර්ති හිමි,,
,,W.A.Abesinghe,ඩබ්ලිව්.ඒ.අබේසිංහ,,
,,Kithsiri Nimal Shantha,කිත්සිරි නිමල් ශාන්ත,,
,,Mahinda Algama,මහින්ද අල්ගම,,
,,Wimala Ranjani Peiris,විමලා රංජනී පීරිස්,,
,,Abeywardena Balasooriya,අබේවර්ධන බාලසූරිය,,
,,Kapila Kumara Kalinga,කපිල කුමාර කාලිංග,,
,,Bandara Aheliyagoda,බණ්ඩාර ඇහැලියගොඩ,,
,,Sunil Gamage,සුනිල් ගමගේ,,
,,Gamini Wijethunga,ගාමිණී විජේතුංග,,
,,Buddadasa Galappaththi,බුද්ධදාස ගලප්පත්ති,,